time,BLE01,BLE02,BLE03,BLE04,BLE05,BLE06,BLE07,BLE08,BLE09,BLE10,room
00:00:00,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:01,-67,-84,-200,-96,-200,-200,-200,-200,-200,-200,A
00:00:02,-200,-200,-91,-200,-200,-200,-92,-200,-200,-200,A
00:00:03,-67,-200,-200,-200,-200,-94,-200,-200,-200,-200,A
00:00:04,-67,-200,-87,-200,-200,-200,-200,-200,-200,-200,A
00:00:05,-200,-86,-200,-200,-85,-200,-200,-200,-200,-200,A
00:00:06,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,A
00:00:07,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,A
00:00:08,-75,-86,-80,-90,-87,-96,-200,-200,-200,-200,A
00:00:09,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:10,-200,-84,-85,-200,-200,-200,-200,-200,-200,-200,A
00:00:11,-200,-200,-200,-91,-89,-200,-200,-200,-200,-200,A
00:00:12,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,A
00:00:13,-72,-200,-87,-200,-200,-200,-200,-200,-200,-200,A
00:00:14,-200,-91,-200,-200,-200,-200,-98,-200,-200,-200,A
00:00:15,-74,-200,-82,-200,-91,-200,-97,-200,-200,-200,A
00:00:16,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:17,-79,-85,-81,-200,-200,-200,-200,-200,-200,-200,A
00:00:18,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,A
00:00:19,-67,-87,-200,-90,-200,-200,-100,-200,-200,-200,A
00:00:20,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,A
00:00:21,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,A
00:00:22,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:23,-200,-95,-90,-200,-88,-200,-200,-200,-200,-200,A
00:00:24,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:25,-72,-200,-81,-96,-200,-200,-200,-200,-200,-200,A
00:00:26,-200,-200,-200,-200,-92,-97,-200,-200,-200,-200,A
00:00:27,-66,-200,-92,-200,-200,-200,-200,-200,-200,-200,A
00:00:28,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:29,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,A
00:00:30,-66,-83,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:31,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,A
00:00:32,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,A
00:00:33,-69,-82,-200,-89,-95,-200,-200,-200,-200,-200,A
00:00:34,-72,-200,-91,-200,-200,-200,-200,-200,-200,-200,A
00:00:35,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:36,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,A
00:00:37,-70,-83,-94,-200,-200,-200,-200,-200,-200,-200,A
00:00:38,-69,-84,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:39,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,A
00:00:40,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,A
00:00:41,-71,-200,-85,-200,-200,-200,-200,-200,-200,-200,A
00:00:42,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:43,-68,-200,-84,-200,-200,-200,-200,-200,-200,-200,A
00:00:44,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:45,-68,-82,-200,-200,-200,-200,-200,-200,-200,-200,A
00:00:46,-200,-200,-89,-94,-200,-200,-200,-200,-200,-200,A
00:00:47,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,A
00:00:48,-60,-89,-86,-83,-87,-200,-96,-200,-200,-200,A
00:00:49,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,A
00:00:50,-69,-200,-200,-87,-79,-200,-200,-200,-200,-200,A
00:00:51,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,A
00:00:52,-200,-87,-76,-200,-200,-200,-200,-200,-200,-200,A
00:00:53,-77,-85,-85,-87,-90,-200,-200,-200,-200,-200,A
00:00:54,-200,-200,-200,-200,-200,-88,-200,-200,-200,-94,A
00:00:55,-200,-200,-200,-200,-200,-200,-90,-97,-200,-200,A
00:00:56,-66,-88,-79,-84,-81,-98,-200,-91,-200,-200,A
00:00:57,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,A
00:00:58,-67,-200,-88,-200,-200,-200,-200,-200,-200,-200,A
00:00:59,-200,-85,-200,-90,-200,-200,-200,-200,-200,-200,A
00:01:00,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,A
00:01:01,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,A
00:01:02,-68,-83,-91,-200,-200,-200,-200,-200,-200,-200,A
00:01:03,-200,-200,-200,-92,-92,-200,-94,-200,-200,-200,A
00:01:04,-62,-89,-85,-93,-200,-200,-200,-200,-200,-200,A
00:01:05,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,A
00:01:06,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,A
00:01:07,-200,-91,-86,-94,-200,-200,-200,-200,-200,-200,A
00:01:08,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,A
00:01:09,-200,-200,-87,-200,-92,-200,-200,-200,-200,-200,A
00:01:10,-61,-83,-200,-200,-200,-200,-95,-200,-200,-200,A
00:01:11,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,A
00:01:12,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,A
00:01:13,-200,-83,-87,-200,-200,-200,-200,-200,-200,-200,A
00:01:14,-200,-200,-200,-91,-200,-200,-95,-200,-200,-200,A
00:01:15,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,A
00:01:16,-61,-91,-86,-91,-200,-200,-200,-200,-200,-200,A
00:01:17,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,A
00:01:18,-60,-90,-200,-92,-200,-200,-200,-200,-200,-200,A
00:01:19,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,A
00:01:20,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,A
00:01:21,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,A
00:01:22,-60,-91,-83,-90,-200,-200,-200,-200,-200,-200,A
00:01:23,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,A
00:01:24,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,A
00:01:25,-200,-77,-87,-91,-200,-200,-200,-200,-200,-200,A
00:01:26,-200,-200,-200,-200,-90,-200,-95,-200,-200,-200,A
00:01:27,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,A
00:01:28,-84,-200,-86,-200,-85,-200,-200,-200,-200,-200,A
00:01:29,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,A
00:01:30,-200,-200,-200,-79,-200,-200,-93,-200,-200,-200,A
00:01:31,-75,-200,-82,-80,-84,-200,-89,-200,-200,-200,A
00:01:32,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,A
00:01:33,-72,-88,-84,-200,-200,-200,-200,-200,-200,-200,A
00:01:34,-200,-200,-200,-85,-93,-200,-200,-200,-200,-200,A
00:01:35,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,A
00:01:36,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,A
00:01:37,-64,-200,-88,-200,-200,-200,-200,-200,-200,-200,A
00:01:38,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,A
00:01:39,-200,-200,-200,-84,-88,-87,-90,-200,-200,-200,A
00:01:40,-69,-92,-200,-89,-200,-200,-86,-200,-200,-200,A
00:01:41,-200,-200,-85,-200,-86,-90,-200,-200,-200,-200,A
00:01:42,-200,-200,-84,-86,-200,-200,-200,-200,-200,-200,A
00:01:43,-76,-87,-200,-200,-200,-200,-91,-200,-200,-200,A
00:01:44,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,A
00:01:45,-78,-200,-87,-200,-200,-200,-200,-200,-200,-200,A
00:01:46,-200,-77,-200,-92,-200,-200,-200,-200,-200,-200,A
00:01:47,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,A
00:01:48,-200,-83,-87,-91,-81,-200,-200,-200,-200,-200,A
00:01:49,-66,-200,-200,-200,-200,-200,-93,-97,-200,-200,A
00:01:50,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,A
00:01:51,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,A
00:01:52,-69,-200,-200,-87,-90,-200,-200,-200,-200,-200,A
00:01:53,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,A
00:01:54,-71,-200,-200,-200,-200,-98,-200,-200,-200,-200,A
00:01:55,-200,-200,-87,-200,-89,-200,-89,-95,-200,-200,A
00:01:56,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,A
00:01:57,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,A
00:01:58,-200,-91,-200,-87,-83,-200,-200,-200,-200,-200,A
00:01:59,-77,-200,-200,-200,-200,-93,-94,-200,-200,-200,A
00:02:00,-200,-200,-76,-200,-200,-200,-200,-99,-200,-200,A
00:02:01,-71,-86,-200,-200,-200,-200,-200,-200,-200,-200,A
00:02:02,-200,-200,-87,-200,-200,-200,-92,-200,-200,-200,A
00:02:03,-200,-200,-200,-92,-88,-200,-200,-200,-200,-200,A
00:02:04,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,A
00:02:05,-200,-86,-88,-200,-200,-200,-96,-200,-200,-200,A
00:02:06,-200,-200,-200,-89,-93,-200,-200,-200,-200,-200,A
00:02:07,-200,-74,-88,-200,-92,-99,-200,-200,-200,-200,A
00:02:08,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,A
00:02:09,-200,-200,-200,-90,-200,-200,-96,-200,-200,-200,A
