ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,label
-67,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-67,-84,-120,-96,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-91,-120,-120,-120,-92,-120,-120,-120,-120,2
-67,-120,-120,-120,-120,-94,-120,-120,-120,-120,-120,2
-67,-120,-87,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-86,-120,-120,-85,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-98,-120,-120,-120,-120,-120,2
-120,-120,-120,-91,-120,-120,-120,-120,-120,-120,-120,2
-75,-86,-80,-90,-87,-96,-120,-120,-120,-120,-120,2
-66,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-84,-85,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-91,-89,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-97,-120,-120,-120,-120,2
-72,-120,-87,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-91,-120,-120,-120,-120,-98,-120,-120,-120,-120,2
-74,-120,-82,-120,-91,-120,-97,-120,-120,-120,-120,2
-120,-86,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-79,-85,-81,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,-120,2
-67,-87,-120,-90,-120,-120,-100,-120,-120,-120,-120,2
-120,-120,-94,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-92,-120,-120,-120,-120,-120,-120,2
-73,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-95,-90,-120,-88,-120,-120,-120,-120,-120,-120,2
-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-72,-120,-81,-96,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-92,-97,-120,-120,-120,-120,-120,2
-66,-120,-92,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-82,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-92,-120,-120,-120,-120,-120,-120,-120,2
-66,-83,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-69,-82,-120,-89,-95,-120,-120,-120,-120,-120,-120,2
-72,-120,-91,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-82,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,-120,2
-70,-83,-94,-120,-120,-120,-120,-120,-120,-120,-120,2
-69,-84,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-88,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-90,-120,-120,-120,-120,-120,-120,-120,2
-71,-120,-85,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-81,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-68,-120,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-83,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-68,-82,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-89,-94,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-93,-120,-120,-120,-120,-120,-120,2
-60,-89,-86,-83,-87,-120,-96,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-95,-120,-120,-120,-120,-120,2
-69,-120,-120,-87,-79,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,2
-120,-87,-76,-120,-120,-120,-120,-120,-120,-120,-120,2
-77,-85,-85,-87,-90,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-88,-120,-120,-120,-94,-120,2
-120,-120,-120,-120,-120,-120,-90,-97,-120,-120,-120,2
-66,-88,-79,-84,-81,-98,-120,-91,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-91,-120,-120,-120,-120,2
-67,-120,-88,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-85,-120,-90,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,2
-120,-120,-120,-120,-94,-120,-120,-120,-120,-120,-120,2
-68,-83,-91,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-92,-92,-120,-94,-120,-120,-120,-120,2
-62,-89,-85,-93,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-94,-120,-120,-120,-120,-120,-120,2
-60,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-91,-86,-94,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-97,-120,-120,-120,-120,-120,-120,2
-120,-120,-87,-120,-92,-120,-120,-120,-120,-120,-120,2
-61,-83,-120,-120,-120,-120,-95,-120,-120,-120,-120,2
-120,-120,-120,-93,-120,-120,-120,-120,-120,-120,-120,2
-61,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-83,-87,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-91,-120,-120,-95,-120,-120,-120,-120,2
-120,-120,-120,-120,-92,-120,-120,-120,-120,-120,-120,2
-61,-91,-86,-91,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-92,-120,-120,-120,-120,-120,-120,2
-60,-90,-120,-92,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-87,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-92,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-97,-120,-120,-120,-120,2
-60,-91,-83,-90,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-93,-120,-120,-120,-120,-120,-120,2
-65,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-77,-87,-91,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-90,-120,-95,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-92,-120,-120,-120,-120,-120,2
-84,-120,-86,-120,-85,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-95,-120,-120,-120,-120,-120,2
-120,-120,-120,-79,-120,-120,-93,-120,-120,-120,-120,2
-75,-120,-82,-80,-84,-120,-89,-120,-120,-120,-120,2
-120,-95,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-72,-88,-84,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-85,-93,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-91,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,2
-64,-120,-88,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-91,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-84,-88,-87,-90,-120,-120,-120,-120,2
-69,-92,-120,-89,-120,-120,-86,-120,-120,-120,-120,2
-120,-120,-85,-120,-86,-90,-120,-120,-120,-120,-120,2
